phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar
INIT,1,R245ca[0.49]&p-Xylene[0.51],mixture,R245ca,p-Xylene,0.49,533.55498,4049343.8671121914,0.05652613782057124,2.5883755253887704,0.6098090295207768
INIT,2,Isopentane[0.49]&n-Hexane[0.51],mixture,Isopentane,n-Hexane,0.49,487.7748189825729,3350128.7375725694,0.11314415065966205,8.971293259688325,0.5828429977120939
INIT,3,MD3M[0.48]&trans-2-Butene[0.52],mixture,MD3M,trans-2-Butene,0.48,524.778,1404745.6494609334,-0.05,-1.0,-1.0
INIT,4,D4[0.48]&EthylBenzene[0.52],mixture,D4,EthylBenzene,0.48,602.4223999999999,2025151.2491221188,0.10784080592376506,0.45805082041516915,0.006416292988457603
INIT,5,trans-2-Butene[0.48]&MD3M[0.52],mixture,trans-2-Butene,MD3M,0.48,532.792,1345899.7696554237,-0.05,-1.0,-1.0
INIT,6,trans-2-Butene[0.49]&IsoButene[0.51],mixture,trans-2-Butene,IsoButene,0.49,423.2448,4055446.400156069,0.10777830235172484,31.504596644113356,3.647435796609768
INIT,7,p-Xylene[0.50]&R245ca[0.50],mixture,p-Xylene,R245ca,0.5,531.869,4055004.1139400615,0.05452294004931109,2.5388516438282385,0.637206590539306
INIT,8,trans-2-Butene[0.50]&R245ca[0.50],mixture,trans-2-Butene,R245ca,0.5,438.09000000000003,4513552.918044343,0.1094464941073523,25.001964884415592,2.3908331708575057
OPT,9,MM[0.49]&IsoButene[0.51],mixture,MM,IsoButene,0.49,467.38890000000004,2592709.6775043323,0.05729250695856563,7.325024667648568,1.6424781984130092
OPT,10,R236EA[0.50]&n-Hexane[0.50],mixture,R236EA,n-Hexane,0.5,460.13,3594356.314147292,0.09678829195531703,14.68479292330857,1.3240498522630664
OPT,11,Neopentane[0.50]&m-Xylene[0.50],mixture,Neopentane,m-Xylene,0.5,525.315,3279684.2597326664,0.019208337051557656,2.6109544058516736,1.6884571190293804
OPT,12,R11[0.48]&R141b[0.52],mixture,R11,R141b,0.48,474.43280000000004,4488333.519341409,0.12149835010702241,15.516593388634229,1.3720903072485506
OPT,13,R236EA[0.50]&R40[0.50],mixture,R236EA,R40,0.5,414.37,4574122.751687414,0.1054519609131365,40.23965816712078,4.096562774967735
OPT,14,Isopentane[0.50]&Cyclopentane[0.50],mixture,Isopentane,Cyclopentane,0.5,486.035,3946071.360564297,0.11665672580430553,11.010761702477758,0.9267163256251967
OPT,15,n-Decane[0.50]&Dichloroethane[0.50],mixture,n-Decane,Dichloroethane,0.5,589.6500000000001,3212055.4914951683,0.04415781879899682,0.8649532006593028,0.270158332722648
OPT,16,R11[0.49]&DiethylEther[0.51],mixture,R11,DiethylEther,0.49,468.8609,4280389.3104902,0.11813515935025744,15.932220607582941,1.35263852600424
OPT,17,Cyclopentane[0.47]&MethylPalmitate[0.53],mixture,Cyclopentane,MethylPalmitate,0.47000000000000003,640.6584,1812210.7215442036,-0.05,-1.0,-1.0
OPT,18,R245ca[0.50]&Cyclopentane[0.50],mixture,R245ca,Cyclopentane,0.5,479.645,4800127.909042364,0.12183942408330985,15.239210558631024,0.9930113812008884
OPT,19,n-Butane[0.49]&Acetone[0.51],mixture,n-Butane,Acetone,0.49,461.81338495967094,4963165.081198215,0.10992590301766926,21.85800775799746,2.1188819367372034
OPT,20,R113[0.49]&MethylPalmitate[0.51],mixture,R113,MethylPalmitate,0.49,623.7828999999999,1908120.4778476793,-0.05,-1.0,-1.0
OPT,21,Methanol[0.49]&n-Octane[0.51],mixture,Methanol,n-Octane,0.49,543.974872967527,5161277.326598802,0.09725079986247692,3.4946612855853765,0.2637903471792494
OPT,22,n-Decane[0.50]&Toluene[0.50],mixture,n-Decane,Toluene,0.5,656.910213125,4188260.9884359874,0.10057708163030203,0.6145177958436632,0.022662068001686488
OPT,23,MethylLinolenate[0.50]&R21[0.50],mixture,MethylLinolenate,R21,0.5,625.24,1853373.569054334,-0.05,-1.0,-1.0
OPT,24,MethylPalmitate[0.48]&DimethylCarbonate[0.52],mixture,MethylPalmitate,DimethylCarbonate,0.48,652.04,3016627.6429510857,-0.05,-1.0,-1.0
OPT,25,m-Xylene[0.48]&Methanol[0.52],mixture,m-Xylene,Methanol,0.48,564.8685637116182,6958432.478112301,0.10981907248342422,2.809985202921503,0.173088635022844
OPT,26,1-Butene[0.49]&HeavyWater[0.51],mixture,1-Butene,HeavyWater,0.49,533.81407,17958666.48884882,-0.05,-1.0,-1.0
OPT,27,Cyclopentane[0.49]&Ethanol[0.51],mixture,Cyclopentane,Ethanol,0.49,489.1555129136934,5124860.407905064,0.11572480138548041,12.168850223861694,0.7661021255264119
OPT,28,HeavyWater[0.50]&Novec649[0.50],mixture,HeavyWater,Novec649,0.5,542.8285,9721560.155981867,-0.05,-1.0,-1.0
