config,n_seeds,mean_best_eta,std_best_eta,ci_low,ci_high,max_best_eta
twostage_mixture,20,0.131112,0.008502,0.127418,0.134644,0.145851
twostage_pure,20,0.132659,0.003640,0.131049,0.134189,0.137470
