order,mixture
1,R11[0.27]&MethylOleate[0.73]
2,EthyleneOxide[0.11]&R21[0.89]
3,EthyleneOxide[0.50]&R11[0.50]
4,R1233zd(E)[0.24]&R236EA[0.76]
5,R11[0.32]&EthyleneOxide[0.68]
6,MM[0.49]&R236EA[0.51]
7,R40[0.49]&Benzene[0.51]
8,cis-2-Butene[0.50]&CycloHexane[0.50]
9,n-Octane[0.50]&HeavyWater[0.50]
10,R1234ze(Z)[0.50]&trans-2-Butene[0.50]
11,MethylOleate[0.49]&D4[0.51]
12,Benzene[0.50]&SulfurDioxide[0.50]
13,Methanol[0.50]&MethylLinoleate[0.50]
14,Benzene[0.49]&EthylBenzene[0.51]
15,MethylLinoleate[0.50]&HeavyWater[0.50]
16,MM[0.49]&MD4M[0.51]
