order,mixture
1,MD3M[0.48]&trans-2-Butene[0.52]
2,MethylLinolenate[0.49]&IsoButene[0.51]
3,IsoButene[0.42]&p-Xylene[0.58]
4,Isopentane[0.48]&n-Hexane[0.52]
5,EthylBenzene[0.43]&D4[0.57]
6,Isopentane[0.49]&n-Hexane[0.51]
7,trans-2-Butene[0.49]&Isopentane[0.51]
8,Isopentane[0.41]&trans-2-Butene[0.59]
9,p-Xylene[0.35]&Isopentane[0.65]
10,EthylBenzene[0.36]&Isopentane[0.64]
11,p-Xylene[0.38]&Isopentane[0.62]
12,IsoButene[0.49]&p-Xylene[0.51]
13,IsoButene[0.48]&p-Xylene[0.52]
14,p-Xylene[0.40]&Isopentane[0.60]
15,IsoButene[0.47]&p-Xylene[0.53]
