phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar
INIT,1,CycloHexane[0.37]&1-Butene[0.63],mixture,CycloHexane,1-Butene,0.37,484.23287040336913,5010434.094129629,0.03450570904344221,13.32393993245339,7.379386431324066
INIT,2,CycloHexane[0.49]&R141b[0.51],mixture,CycloHexane,R141b,0.49,514.789,4344281.923917429,0.12491021283578643,9.000033513791537,0.5110660705248972
INIT,3,MethylOleate[0.27]&1-Butene[0.73],mixture,MethylOleate,1-Butene,0.27,517.2217,2217290.617093922,-0.05,-1.0,-1.0
INIT,4,CycloHexane[0.32]&D6[0.68],mixture,CycloHexane,D6,0.32,616.2824,1223893.3534042796,-0.05,-1.0,-1.0
INIT,5,R245fa[0.44]&n-Butane[0.56],mixture,R245fa,n-Butane,0.44,405.33216353435455,3552465.427013185,0.08935962716259069,23.32434434794318,3.9995513895339254
OPT,6,EthylBenzene[0.50]&R245ca[0.50],mixture,EthylBenzene,R245ca,0.5,532.345,4147895.2518238868,0.059665441648103675,2.8870447380834827,0.6284137919126824
OPT,7,R1234ze(Z)[0.50]&DimethylCarbonate[0.50],mixture,R1234ze(Z),DimethylCarbonate,0.5,490.135,4273981.347282649,0.08787272297939967,9.444917896474408,1.2858348919730436
OPT,8,n-Butane[0.49]&n-Nonane[0.51],mixture,n-Butane,n-Nonane,0.49,550.6226048767742,4433208.885973273,-0.05,-1.0,-1.0
OPT,9,Benzene[0.49]&R142b[0.51],mixture,Benzene,R142b,0.49,484.62239999999997,4696324.235338734,0.08246573139488031,11.31936380563827,2.1017515046202666
OPT,10,DimethylCarbonate[0.49]&R113[0.51],mixture,DimethylCarbonate,R113,0.49,521.4071,4674203.490198999,0.12309503438772583,7.520807502361433,0.36398794656836997
OPT,11,MethylLinolenate[0.50]&MethylOleate[0.50],mixture,MethylLinolenate,MethylOleate,0.5,790.646858825,1296272.8351700313,-0.05,-1.0,-1.0
OPT,12,Water[0.50]&Methanol[0.50],mixture,Water,Methanol,0.5,572.0282486562501,13492375.844074322,-0.05,-1.0,-1.0
OPT,13,MethylPalmitate[0.49]&MethylLinoleate[0.51],mixture,MethylPalmitate,MethylLinoleate,0.49,763.8359985166205,1364066.55114042,-0.05,-1.0,-1.0
OPT,14,Cyclopentane[0.50]&Methanol[0.50],mixture,Cyclopentane,Methanol,0.5,512.55,9326329.273288634,0.11902945091104133,15.871899951404725,1.0108789941548546
OPT,15,EthyleneOxide[0.48]&SulfurDioxide[0.52],mixture,EthyleneOxide,SulfurDioxide,0.48,449.0144,12265071.859760752,0.11540627158696615,63.0721983313295,7.32202232635389
OPT,16,n-Undecane[0.48]&HeavyWater[0.52],mixture,n-Undecane,HeavyWater,0.48,641.42444,8650903.752754064,0.020426503877194063,0.45393176805181007,0.25917166207768827
OPT,17,Dichloroethane[0.50]&Isopentane[0.50],mixture,Dichloroethane,Isopentane,0.5,510.975,4675883.2877071565,0.11814835571211323,9.67764519161681,0.6503969879829763
OPT,18,Isopentane[0.49]&R142b[0.51],mixture,Isopentane,R142b,0.49,434.8041,3958620.6242472497,0.10998038007998631,25.270679843154657,2.444961418506993
OPT,19,Isopentane[0.48]&DimethylCarbonate[0.52],mixture,Isopentane,DimethylCarbonate,0.48,510.60799999999995,4056149.550852632,0.0017363342475901274,8.025570348939011,7.815168890427098
OPT,20,Toluene[0.49]&Methanol[0.51],mixture,Toluene,Methanol,0.49,517.7085809174496,17172316.47302843,0.1312554023058758,6.231848107842133,0.19581871808006082
OPT,21,Water[0.49]&IsoButene[0.51],mixture,Water,IsoButene,0.49,530.30294,17345913.271275975,-0.05,-1.0,-1.0
OPT,22,MethylLinolenate[0.49]&MethylOleate[0.51],mixture,MethylLinolenate,MethylOleate,0.49,790.4741906326672,1295279.3990219517,-0.05,-1.0,-1.0
OPT,23,Toluene[0.50]&Methanol[0.50],mixture,Toluene,Methanol,0.5,519.405735,17216706.486246474,0.08925369321543884,1.829617107337904,0.19731583476310174
OPT,24,MethylOleate[0.49]&MethylPalmitate[0.51],mixture,MethylOleate,MethylPalmitate,0.49,768.9206427730937,1312915.1056172631,-0.05,-1.0,-1.0
OPT,25,IsoButene[0.50]&HeavyWater[0.50],mixture,IsoButene,HeavyWater,0.5,530.9685,17498481.361659892,-0.05,-1.0,-1.0
