phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar,cost
INIT,1,MethylOleate[0.47]&EthylBenzene[0.53],mixture,MethylOleate,EthylBenzene,0.47000000000000003,694.6135999999999,1955202.19862952,-0.05,-1.0,-1.0,1.0
INIT,2,R1234ze(Z)[0.48]&n-Undecane[0.52],mixture,R1234ze(Z),n-Undecane,0.48,535.3456,2596927.134588066,-0.05,-1.0,-1.0,2.0
INIT,3,MD3M[0.30]&R236EA[0.70],mixture,MD3M,R236EA,0.3,477.39599999999996,1644603.886750639,-0.05,-1.0,-1.0,3.0
INIT,4,R1234ze(Z)[0.35]&n-Nonane[0.65],mixture,R1234ze(Z),n-Nonane,0.35000000000000003,534.602,2717357.2566155675,0.001020013794781348,1.5294906789053717,1.4860761051141564,4.0
INIT,5,EthylBenzene[0.50]&n-Undecane[0.50],mixture,EthylBenzene,n-Undecane,0.5,627.96,2538928.311129718,0.1104741737829298,0.45425643851807423,0.007342523118787757,5.0
OPT,6,n-Undecane[0.49]&DiethylEther[0.51],mixture,n-Undecane,DiethylEther,0.49,551.029,2660973.876835259,-0.05,-1.0,-1.0,6.0
OPT,7,MM[0.50]&CycloHexane[0.50],mixture,MM,CycloHexane,0.5,536.1500000000001,2649624.006443377,0.10066816543648768,2.505160390281292,0.16875134421160182,7.0
OPT,8,n-Hexane[0.49]&n-Dodecane[0.51],mixture,n-Hexane,n-Dodecane,0.49,583.9285986012618,2595767.2710551405,0.02585686252417928,0.285388662938326,0.1140223893005395,8.0
OPT,9,MethylLinolenate[0.50]&MethylPalmitate[0.50],mixture,MethylLinolenate,MethylPalmitate,0.5,778.0722641796875,1368870.176731585,-0.05,-1.0,-1.0,9.0
OPT,10,MD4M[0.49]&MethylLinolenate[0.51],mixture,MD4M,MethylLinolenate,0.49,727.558,1142057.1208495782,-0.05,-1.0,-1.0,10.0
OPT,11,MD4M[0.50]&MethylPalmitate[0.50],mixture,MD4M,MethylPalmitate,0.5,704.1,1187666.0076870031,-0.05,-1.0,-1.0,11.0
OPT,12,MD3M[0.49]&MD4M[0.51],mixture,MD3M,MD4M,0.49,641.3224,916786.3383534328,0.02138931681135492,0.038823230109879946,0.017868700143917508,12.0
OPT,13,n-Hexane[0.50]&MM[0.50],mixture,n-Hexane,MM,0.5,516.4766661609375,2437339.3620885746,0.1109537373334958,3.721443762199703,0.13844564352278443,13.0
OPT,14,DiethylEther[0.49]&MDM[0.51],mixture,DiethylEther,MDM,0.49,517.017059,2190782.3538406473,0.04084289845986377,1.6134942473917984,0.43581292380004644,14.0
OPT,15,n-Hexane[0.50]&DimethylCarbonate[0.50],mixture,n-Hexane,DimethylCarbonate,0.5,524.59386638125,4110430.559818987,0.12705084044778345,5.928747276938006,0.2325709001610317,15.0
OPT,16,R245ca[0.50]&Toluene[0.50],mixture,R245ca,Toluene,0.5,519.66,4436724.48743106,0.08645153918711872,5.081581392826968,0.6110283061474597,16.0
OPT,17,DiethylEther[0.44]&HeavyWater[0.56],mixture,DiethylEther,HeavyWater,0.44,565.90232,12340238.76156239,0.07659212222346685,6.069941894073704,1.1515711169236174,17.0
OPT,18,R21[0.50]&R40[0.50],mixture,R21,R40,0.5,433.89,5996060.916387165,0.1217855640824857,41.36132681843997,3.991439328852926,18.0
OPT,19,o-Xylene[0.49]&Water[0.51],mixture,o-Xylene,Water,0.49,638.84587,14847895.570262687,0.021336204165636814,6.317769503079798,4.374240736384671,19.0
OPT,20,R114[0.49]&1-Butene[0.51],mixture,R114,1-Butene,0.49,419.06460000000004,3755268.6899113078,0.10223840651409524,29.385655609626458,3.574066287058209,20.0
