order,mixture
1,n-Dodecane[0.49]&Acetone[0.51]
2,Toluene[0.48]&R114[0.52]
3,D4[0.48]&n-Pentane[0.52]
4,R245ca[0.50]&R11[0.50]
5,EthylBenzene[0.50]&1-Butene[0.50]
1,R245ca[0.49]&R114[0.51]
2,R245ca[0.26]&R114[0.74]
3,R245ca[0.50]&R114[0.50]
4,R114[0.49]&R245ca[0.51]
5,R245ca[0.48]&R114[0.52]
6,R114[0.29]&R11[0.71]
7,R245ca[0.45]&R114[0.55]
8,R245ca[0.46]&R114[0.54]
9,R245ca[0.35]&R11[0.65]
10,R245ca[0.38]&R11[0.62]
11,R245ca[0.14]&Water[0.86]
12,R114[0.41]&R11[0.59]
13,R114[0.48]&R245ca[0.52]
14,R114[0.47]&R11[0.53]
15,R114[0.43]&R245ca[0.57]
16,R11[0.50]&R114[0.50]
17,R11[0.17]&R114[0.83]
18,R11[0.37]&R114[0.63]
19,R11[0.21]&R114[0.79]
20,R11[0.33]&R114[0.67]
