order,mixture
1,R245ca
2,Isopentane
3,MD3M
4,MethylLinolenate
5,D4
1,1-Butene
2,Acetone
3,cis-2-Butene
4,IsoButene
5,n-Butane
6,R40
7,Ethanol
8,HeavyWater
9,Water
10,Methanol
11,Dichloroethane
12,Benzene
13,DimethylCarbonate
14,Toluene
15,EthyleneOxide
