order,mixture
1,MethylLinolenate
2,D4
3,MethylLinoleate
4,Acetone
5,Toluene
6,Methanol
7,EthyleneOxide
8,HeavyWater
9,R142b
10,Dichloroethane
11,Ethanol
12,MethylPalmitate
13,MethylOleate
14,o-Xylene
15,Novec649
16,Water
17,SulfurDioxide
18,n-Dodecane
19,DimethylCarbonate
