order,mixture
1,MethylOleate[0.47]&EthylBenzene[0.53]
2,R1234ze(Z)[0.48]&n-Undecane[0.52]
3,MD3M[0.30]&R236EA[0.70]
4,R1234ze(Z)[0.35]&n-Nonane[0.65]
5,EthylBenzene[0.50]&n-Undecane[0.50]
6,n-Undecane[0.49]&DiethylEther[0.51]
7,MM[0.50]&CycloHexane[0.50]
8,n-Hexane[0.49]&n-Dodecane[0.51]
9,MethylLinolenate[0.50]&MethylPalmitate[0.50]
10,MD4M[0.49]&MethylLinolenate[0.51]
11,MD4M[0.50]&MethylPalmitate[0.50]
12,MD3M[0.49]&MD4M[0.51]
13,n-Hexane[0.50]&MM[0.50]
14,DiethylEther[0.49]&MDM[0.51]
15,n-Hexane[0.50]&DimethylCarbonate[0.50]
16,R245ca[0.50]&Toluene[0.50]
17,DiethylEther[0.44]&HeavyWater[0.56]
18,R21[0.50]&R40[0.50]
