phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar,cost
INIT,1,R113[0.49]&D6[0.51],mixture,R113,D6,0.49,568.0807,1356693.083551696,-0.05,-1.0,-1.0,5.7
INIT,2,MethylOleate[0.50]&CycloHexane[0.50],mixture,MethylOleate,CycloHexane,0.5,667.8,1852310.426502011,-0.05,-1.0,-1.0,6.7
INIT,3,1-Butene[0.45]&m-Xylene[0.55],mixture,1-Butene,m-Xylene,0.45,527.97,3498838.5682226866,0.0006477637177118629,2.2991516825414577,2.266514569406211,7.7
INIT,4,1-Butene[0.43]&m-Xylene[0.57],mixture,1-Butene,m-Xylene,0.43,531.9219999999999,3493999.8064100384,0.018213922977381544,2.375956544489594,1.5503441954199708,8.7
INIT,5,m-Xylene[0.28]&SulfurDioxide[0.72],mixture,m-Xylene,SulfurDioxide,0.28,482.78999999999996,6703684.434904967,-0.05,-1.0,-1.0,9.7
OPT,6,m-Xylene[0.49]&1-Butene[0.51],mixture,m-Xylene,1-Butene,0.49,516.114,3517740.684182061,0.004332206762644407,2.0647492643772325,1.8789578867132497,10.7
OPT,7,MethylOleate[0.49]&CycloHexane[0.51],mixture,MethylOleate,CycloHexane,0.49,665.5160000000001,1872688.3492183269,-0.05,-1.0,-1.0,12.0
OPT,8,CycloHexane[0.33]&MethylOleate[0.67],mixture,CycloHexane,MethylOleate,0.33,706.628,1569356.789400496,-0.05,-1.0,-1.0,13.3
OPT,9,CycloHexane[0.32]&MethylOleate[0.68],mixture,CycloHexane,MethylOleate,0.32,708.912,1555845.8136056985,-0.05,-1.0,-1.0,14.3
OPT,10,CycloHexane[0.30]&MethylOleate[0.70],mixture,CycloHexane,MethylOleate,0.3,713.48,1529694.6296875617,-0.05,-1.0,-1.0,15.3
OPT,11,MethylOleate[0.46]&CycloHexane[0.54],mixture,MethylOleate,CycloHexane,0.46,658.664,1936855.8513688988,-0.05,-1.0,-1.0,16.6
OPT,12,CycloHexane[0.13]&SulfurDioxide[0.87],mixture,CycloHexane,SulfurDioxide,0.13,446.6248,9194733.66720526,0.13076901359912735,51.007209164398475,4.462884975735352,17.6
OPT,13,CycloHexane[0.08]&SulfurDioxide[0.92],mixture,CycloHexane,SulfurDioxide,0.08,440.4768,8907325.970171178,0.08752918366927416,33.050103886032026,7.712612314498808,18.6
OPT,14,CycloHexane[0.50]&SulfurDioxide[0.50],mixture,CycloHexane,SulfurDioxide,0.5,492.12,7483336.613943628,0.027042590803576575,10.592039575528307,6.41969985393723,19.6
