order,mixture
1,p-Xylene[0.46]&R11[0.54]
2,R11[0.47]&1-Butene[0.53]
3,R11[0.34]&p-Xylene[0.66]
4,p-Xylene[0.30]&R11[0.70]
5,MD2M[0.42]&p-Xylene[0.58]
6,n-Dodecane[0.49]&MD4M[0.51]
7,Ethanol[0.49]&IsoButene[0.51]
8,Neopentane[0.48]&1-Butene[0.52]
9,Isopentane[0.49]&R365MFC[0.51]
10,DiethylEther[0.50]&R123[0.50]
11,MD4M[0.49]&EthylBenzene[0.51]
12,R21[0.49]&1-Butene[0.51]
13,R123[0.50]&cis-2-Butene[0.50]
14,n-Butane[0.48]&Water[0.52]
15,Benzene[0.50]&SulfurDioxide[0.50]
16,MD4M[0.49]&DiethylEther[0.51]
