phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar,cost
INIT,1,Isohexane,pure,Isohexane,,1.0,497.70089775111575,3042658.694875517,0.1135516132446287,6.722691019589606,0.4235063965080749,1.52
INIT,2,R245fa,pure,R245fa,,1.0,427.00998969559254,3650995.024128124,0.10745571266198184,25.37592459565767,2.158004835368376,2.52
INIT,3,Benzene,pure,Benzene,,1.0,562.0196911219722,4906288.781088226,0.12780443207486655,4.117709099962705,0.20566026358965905,3.52
INIT,4,Toluene,pure,Toluene,,1.0,591.7490789362913,4126346.9485955853,0.11784418487413792,1.4325071646133298,0.06746474741999327,4.52
INIT,5,p-Xylene,pure,p-Xylene,,1.0,616.1680019419451,3531521.052252691,0.11642934205930774,0.7123203156930692,0.024941594111850797,5.52
OPT,6,CycloHexane,pure,CycloHexane,,1.0,553.6000188557726,4080525.8791621355,0.12342369178022139,3.9809705244912887,0.20675667188757868,6.52
OPT,7,Dichloroethane,pure,Dichloroethane,,1.0,561.5800290671409,5226120.870131313,0.1292575311114172,4.033686639383418,0.18430930336349313,7.52
OPT,8,Ethanol,pure,Ethanol,,1.0,514.7092848812961,6267914.582702095,0.1332556084427317,6.281226378935478,0.1384491643192656,8.52
OPT,9,MethylPalmitate,pure,MethylPalmitate,,1.0,755.0001061380809,1349957.890312988,-0.05,-1.0,-1.0,9.52
OPT,10,Methanol,pure,Methanol,,1.0,513.3795127230579,8215853.274947686,0.10354005493036128,9.528662914775548,0.8712094877403446,10.52
OPT,11,Acetone,pure,Acetone,,1.0,508.10000903114974,4692416.5561745,0.12805870776376885,8.409260492971184,0.47155664091880695,11.52
OPT,12,D5,pure,D5,,1.0,618.2999915047726,1077687.644266743,0.08199191833310542,0.10171960593908026,0.0015385383909442792,12.52
OPT,13,R40,pure,R40,,1.0,418.62565210586763,6929002.575398743,0.10874837110912115,56.102803917777,7.647364777861634,13.52
OPT,14,HeavyWater,pure,HeavyWater,,1.0,643.8469999831403,21661830.99818297,0.13735580678910644,2.7944342399920283,0.0540276148735952,14.52
OPT,15,Water,pure,Water,,1.0,647.0959999999873,22063999.999997754,0.11356286539126889,1.6018703634088864,0.07193066117685831,15.52
OPT,16,MethylLinoleate,pure,MethylLinoleate,,1.0,799.0001945392406,1340820.8824579124,-0.05,-1.0,-1.0,16.52
OPT,17,R21,pure,R21,,1.0,452.72016234362053,5288505.217724644,0.11734328643645303,23.488730054854084,2.531186132222443,17.52
OPT,18,Novec649,pure,Novec649,,1.0,441.81001489490177,1869027.1118194864,0.08842897153183892,9.723112086530575,0.6053208058187526,18.52
OPT,19,n-Nonane,pure,n-Nonane,,1.0,594.5478132119172,2281911.0314392075,0.11076996310916594,0.6131892491891721,0.013512515483927966,19.52
