phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar
INIT,1,Ethanol,pure,Ethanol,,1.0,514.7092848812961,6267914.582702095,0.12725675260937575,5.839814186691022,0.16152657678656834
INIT,2,MD4M,pure,MD4M,,1.0,653.199999427594,828558.7151384281,-0.05,-1.0,-1.0
INIT,3,Dichloroethane,pure,Dichloroethane,,1.0,561.5800290671409,5226120.870131313,0.1318098114832036,4.02290481575898,0.16753069208297325
INIT,4,Toluene,pure,Toluene,,1.0,591.7490789362913,4126346.9485955853,0.12796488994845137,1.8947628663546527,0.06505673321686492
INIT,5,SulfurDioxide,pure,SulfurDioxide,,1.0,430.6400006320635,7886578.976938645,0.11800853663291565,53.766195930166056,5.414543764996745
LOOP,1,Dichloroethane,pure,Dichloroethane,,1.0,561.5800290671409,5226120.870131313,0.1309709132412764,4.016405674421062,0.1723404707757789
LOOP,2,Dichloroethane,pure,Dichloroethane,,1.0,561.5800290671409,5226120.870131313,0.12678158456652142,3.589481476530904,0.17304668510149646
LOOP,3,Dichloroethane,pure,Dichloroethane,,1.0,561.5800290671409,5226120.870131313,0.12998869123624113,3.87807631740133,0.17059705603399283
LOOP,4,Dichloroethane,pure,Dichloroethane,,1.0,561.5800290671409,5226120.870131313,0.1302259252796225,3.8647929323673997,0.16839072549299558
LOOP,5,Ethanol,pure,Ethanol,,1.0,514.7092848812961,6267914.582702095,0.1274225960269898,6.279559996628406,0.17564462842429335
LOOP,6,Dichloroethane,pure,Dichloroethane,,1.0,561.5800290671409,5226120.870131313,0.1313571052058514,4.03435062809531,0.17093796191036878
LOOP,7,Dichloroethane,pure,Dichloroethane,,1.0,561.5800290671409,5226120.870131313,0.12542611270382814,4.000395064373171,0.2087262446608944
LOOP,8,Dichloroethane,pure,Dichloroethane,,1.0,561.5800290671409,5226120.870131313,0.11939937050893437,3.85652618378872,0.24472386896019188
LOOP,9,Dichloroethane,pure,Dichloroethane,,1.0,561.5800290671409,5226120.870131313,0.12608807005012612,3.8501545370233803,0.19414670732694148
LOOP,10,Dichloroethane,pure,Dichloroethane,,1.0,561.5800290671409,5226120.870131313,0.1211575390036344,3.8288038990737694,0.22852601606077808
