order,mixture
1,Ethanol
2,MD4M
3,Dichloroethane
4,Toluene
5,SulfurDioxide
1,Dichloroethane
2,Dichloroethane
3,Dichloroethane
4,Dichloroethane
5,Ethanol
6,Dichloroethane
7,Dichloroethane
8,Dichloroethane
9,Dichloroethane
10,Dichloroethane
