order,mixture
1,R1234ze(Z)[0.50]&CycloHexane[0.50]
2,Cyclopentane[0.47]&MD4M[0.53]
3,R365MFC[0.45]&EthylBenzene[0.55]
4,CycloHexane[0.44]&Methanol[0.56]
5,DimethylCarbonate[0.43]&R365MFC[0.57]
6,Benzene[0.49]&R123[0.51]
7,Dichloroethane[0.49]&EthyleneOxide[0.51]
8,CycloHexane[0.50]&IsoButene[0.50]
9,Benzene[0.48]&n-Nonane[0.52]
10,trans-2-Butene[0.48]&SulfurDioxide[0.52]
11,CycloHexane[0.50]&n-Dodecane[0.50]
12,Benzene[0.45]&R40[0.55]
13,R245fa[0.49]&MD2M[0.51]
14,CycloHexane[0.49]&p-Xylene[0.51]
15,Ethanol[0.50]&R123[0.50]
16,Neopentane[0.50]&R245fa[0.50]
17,n-Hexane[0.49]&Benzene[0.51]
18,R141b[0.50]&R245fa[0.50]
19,o-Xylene[0.50]&SulfurDioxide[0.50]
20,Dichloroethane[0.50]&R123[0.50]
21,R21[0.50]&Water[0.50]
22,Toluene[0.50]&n-Butane[0.50]
23,DimethylCarbonate[0.49]&DiethylEther[0.51]
24,R141b[0.50]&Isohexane[0.50]
25,n-Hexane[0.50]&Isohexane[0.50]
