order,mixture
1,Novec649[0.48]&Ethanol[0.52]
2,trans-2-Butene[0.50]&MDM[0.50]
3,Acetone[0.50]&MD4M[0.50]
4,R123[0.50]&n-Decane[0.50]
5,DiethylEther[0.50]&Dichloroethane[0.50]
1,Dichloroethane[0.23]&trans-2-Butene[0.77]
2,trans-2-Butene[0.30]&Dichloroethane[0.70]
3,DiethylEther[0.45]&trans-2-Butene[0.55]
4,DiethylEther[0.13]&Dichloroethane[0.87]
5,DiethylEther[0.42]&trans-2-Butene[0.58]
6,DiethylEther[0.35]&trans-2-Butene[0.65]
7,Ethanol[0.50]&DiethylEther[0.50]
8,Ethanol[0.38]&trans-2-Butene[0.62]
9,DiethylEther[0.40]&trans-2-Butene[0.60]
10,DiethylEther[0.39]&trans-2-Butene[0.61]
11,DiethylEther[0.09]&Dichloroethane[0.91]
12,Dichloroethane[0.12]&Novec649[0.88]
13,DiethylEther[0.05]&Dichloroethane[0.95]
14,DiethylEther[0.11]&MethylLinoleate[0.89]
