phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar,cost
INIT,1,Novec649,pure,Novec649,,1.0,441.81001489490177,1869027.1118194864,0.08831764068775089,9.648774900164002,0.6052386342411353,3.3
INIT,2,Acetone,pure,Acetone,,1.0,508.10000903114974,4692416.5561745,0.12812867223134183,8.386148762404243,0.46889676026603916,4.3
INIT,3,DiethylEther,pure,DiethylEther,,1.0,467.8996408899039,3717320.6335552176,0.11459713497971646,13.426485986891374,1.0378875571442396,5.3
INIT,4,R245fa,pure,R245fa,,1.0,427.00998969559254,3650995.024128124,0.10825826143631974,25.674608340843907,2.1202060976901653,6.3
INIT,5,m-Xylene,pure,m-Xylene,,1.0,616.890000360268,3534599.0782215013,0.12330820723396224,0.8948048404227472,0.024486312664963993,7.3
OPT,6,DimethylCarbonate,pure,DimethylCarbonate,,1.0,557.0000000185722,4908754.940663761,0.12748988507453868,3.450461115895081,0.12260976937263024,8.3
OPT,7,R21,pure,R21,,1.0,452.72016234362053,5288505.217724644,0.12030068301094646,25.719281038490887,2.5483349569479667,9.3
OPT,8,p-Xylene,pure,p-Xylene,,1.0,616.1680019419451,3531521.052252691,0.10803749445244783,0.472739011758011,0.021187160483043168,10.3
OPT,9,n-Dodecane,pure,n-Dodecane,,1.0,658.1000268582027,1817569.5498990365,-0.05,-1.0,-1.0,11.3
OPT,10,n-Decane,pure,n-Decane,,1.0,617.6988452458754,2101336.691813891,0.11439688290706396,0.31227986625020804,0.003781693573836187,12.3
OPT,11,Methanol,pure,Methanol,,1.0,513.3795127230579,8215853.274947686,0.13531650449298813,9.575941465910537,0.30343094459896874,13.3
OPT,12,EthyleneOxide,pure,EthyleneOxide,,1.0,468.9200076903809,7304686.9983511865,0.12492240862948985,26.440425711558838,2.4743580963086633,14.3
OPT,13,n-Heptane,pure,n-Heptane,,1.0,541.2259150893126,2773824.280294774,0.11533838184968263,2.55733797946409,0.09886342419811543,15.3
OPT,14,R123,pure,R123,,1.0,456.8300258131298,3661805.269435811,0.11639678390088688,15.767784552152042,1.3126627505372745,16.3
OPT,15,trans-2-Butene,pure,trans-2-Butene,,1.0,428.61053576550944,4019095.037933443,0.11064879166571355,28.501590952790533,3.193204014744938,17.3
OPT,16,R1233zd(E),pure,R1233zd(E),,1.0,438.860000000042,3582752.889649124,0.11280849575974278,20.85165057621348,1.8375046216168311,18.3
OPT,17,MM,pure,MM,,1.0,518.7001252823088,1931134.437174969,0.1030217992528403,2.4254230994011374,0.09120828043686964,19.3
