config,n_seeds,mean_best_eta,std_best_eta,ci_low,ci_high,max_best_eta
twostage_mixture,20,0.128697,0.007838,0.125352,0.132073,0.139774
twostage_pure,20,0.128381,0.008151,0.124846,0.131715,0.138304
