order,mixture
1,m-Xylene
2,D6
3,Benzene
4,D5
5,R21
1,Benzene
2,Benzene
3,Benzene
4,Benzene
5,Benzene
6,Benzene
7,Benzene
8,Benzene
9,Benzene
10,Benzene
11,Benzene
12,Benzene
13,Benzene
14,Benzene
15,Benzene
16,Benzene
17,Benzene
18,Benzene
19,Benzene
20,Benzene
