order,mixture
1,p-Xylene[0.46]&R11[0.54]
2,R11[0.47]&1-Butene[0.53]
3,R11[0.34]&p-Xylene[0.66]
4,p-Xylene[0.30]&R11[0.70]
5,MD2M[0.42]&p-Xylene[0.58]
6,n-Dodecane[0.49]&MD4M[0.51]
7,Ethanol[0.49]&IsoButene[0.51]
8,Neopentane[0.48]&1-Butene[0.52]
9,Isopentane[0.49]&R365MFC[0.51]
10,MD4M[0.48]&D5[0.52]
11,Methanol[0.50]&MethylOleate[0.50]
12,Isohexane[0.49]&Novec649[0.51]
13,Acetone[0.49]&Isopentane[0.51]
14,R1234ze(Z)[0.49]&R113[0.51]
15,Isopentane[0.50]&Ethanol[0.50]
16,1-Butene[0.50]&HeavyWater[0.50]
