order,mixture
1,Water
2,SulfurDioxide
3,HeavyWater
4,n-Butane
5,R245fa
6,MethylLinoleate
7,MethylPalmitate
8,MethylOleate
9,MD4M
10,MethylLinolenate
11,D6
12,n-Dodecane
13,o-Xylene
14,MD3M
15,Ethanol
16,Dichloroethane
17,R21
18,R40
19,n-Hexane
