order,mixture
1,D4[0.47]&n-Undecane[0.53]
2,Benzene[0.50]&Toluene[0.50]
3,Benzene[0.40]&D4[0.60]
4,m-Xylene[0.37]&Water[0.63]
5,Water[0.35]&m-Xylene[0.65]
6,Toluene[0.50]&R21[0.50]
7,CycloHexane[0.50]&o-Xylene[0.50]
8,Toluene[0.47]&Benzene[0.53]
9,Water[0.50]&R365MFC[0.50]
10,HeavyWater[0.49]&n-Octane[0.51]
11,DimethylCarbonate[0.50]&EthylBenzene[0.50]
12,Isopentane[0.50]&HeavyWater[0.50]
13,Toluene[0.50]&MethylOleate[0.50]
14,Methanol[0.50]&n-Nonane[0.50]
15,HeavyWater[0.50]&n-Nonane[0.50]
16,n-Nonane[0.49]&HeavyWater[0.51]
17,o-Xylene[0.50]&Dichloroethane[0.50]
18,Benzene[0.49]&HeavyWater[0.51]
19,HeavyWater[0.49]&n-Dodecane[0.51]
20,Acetone[0.48]&HeavyWater[0.52]
21,HeavyWater[0.50]&Dichloroethane[0.50]
22,o-Xylene[0.49]&HeavyWater[0.51]
23,HeavyWater[0.50]&Ethanol[0.50]
24,EthylBenzene[0.50]&HeavyWater[0.50]
25,MethylLinolenate[0.49]&HeavyWater[0.51]
