order,mixture
1,m-Xylene
2,R245ca
3,DimethylCarbonate
4,R114
5,o-Xylene
1,n-Decane
2,R1233zd(E)
3,MethylLinoleate
4,Ethanol
5,CycloHexane
6,SulfurDioxide
7,R365MFC
8,MD3M
9,p-Xylene
10,R245fa
11,R236EA
12,Water
13,HeavyWater
14,Methanol
15,Dichloroethane
