phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar,cost
INIT,1,R114,pure,R114,,1.0,420.6077250633603,3352482.0281048496,0.09917980792247369,26.349984375534586,3.182570054649829,2.5
INIT,2,o-Xylene,pure,o-Xylene,,1.0,630.259003064399,3737459.7566424324,0.1260744862615108,0.7529644774032488,0.01688594225858945,3.5
INIT,3,SulfurDioxide,pure,SulfurDioxide,,1.0,430.6400006320635,7886578.976938645,0.11776335270326113,53.80838460582268,5.452997345947193,4.5
INIT,4,Novec649,pure,Novec649,,1.0,441.81001489490177,1869027.1118194864,0.0873094935391274,9.326407260365725,0.620201061767952,5.5
INIT,5,IsoButene,pure,IsoButene,,1.0,418.08980215358235,4015706.5347842663,0.10463297167713453,33.47309042364401,4.085653873778825,6.5
OPT,6,MD4M,pure,MD4M,,1.0,653.199999427594,828558.7151384281,-0.05,-1.0,-1.0,7.5
OPT,7,n-Dodecane,pure,n-Dodecane,,1.0,658.1000268582027,1817569.5498990365,-0.05,-1.0,-1.0,8.5
OPT,8,D5,pure,D5,,1.0,618.2999915047726,1077687.644266743,0.018357120807961473,0.059701975308763054,0.0344585801228529,9.5
OPT,9,Ethanol,pure,Ethanol,,1.0,514.7092848812961,6267914.582702095,0.013570701090591372,6.147886840288114,4.737432016212059,10.5
OPT,10,R40,pure,R40,,1.0,418.62565210586763,6929002.575398743,0.10911397723007132,58.26439847924349,7.658101714086666,11.5
OPT,11,MethylPalmitate,pure,MethylPalmitate,,1.0,755.0001061380809,1349957.890312988,-0.05,-1.0,-1.0,12.5
OPT,12,R21,pure,R21,,1.0,452.72016234362053,5288505.217724644,0.12025794252340244,25.736535441892123,2.5529673178735757,13.5
OPT,13,Toluene,pure,Toluene,,1.0,591.7490789362913,4126346.9485955853,0.12377934374877828,1.8817561968364533,0.07578081302877948,14.5
OPT,14,Methanol,pure,Methanol,,1.0,513.3795127230579,8215853.274947686,0.1326713666464646,9.023255777252553,0.3104157540032552,15.5
OPT,15,HeavyWater,pure,HeavyWater,,1.0,643.8469999831403,21661830.99818297,0.13023617336372953,2.955468461439291,0.07792712213368454,16.5
OPT,16,Water,pure,Water,,1.0,647.0959999999873,22063999.999997754,0.12388625588966642,2.8025679353619557,0.10201240967106034,17.5
OPT,17,MethylOleate,pure,MethylOleate,,1.0,782.0001332054759,1246000.7777377798,-0.05,-1.0,-1.0,18.5
OPT,18,EthyleneOxide,pure,EthyleneOxide,,1.0,468.9200076903809,7304686.9983511865,0.126069992072524,27.048636601323473,2.4560489631133504,19.5
