order,mixture
1,R1234ze(Z)[0.50]&CycloHexane[0.50]
2,EthylBenzene[0.49]&DimethylCarbonate[0.51]
3,Cyclopentane[0.47]&MD4M[0.53]
4,MDM[0.50]&MD2M[0.50]
5,Methanol[0.49]&R365MFC[0.51]
1,DimethylCarbonate[0.50]&EthylBenzene[0.50]
2,DimethylCarbonate[0.30]&CycloHexane[0.70]
3,DimethylCarbonate[0.50]&CycloHexane[0.50]
4,CycloHexane[0.09]&HeavyWater[0.91]
5,DimethylCarbonate[0.08]&D5[0.92]
6,EthylBenzene[0.38]&DimethylCarbonate[0.62]
7,DimethylCarbonate[0.44]&EthylBenzene[0.56]
8,CycloHexane[0.36]&R1234ze(Z)[0.64]
9,R1234ze(Z)[0.43]&CycloHexane[0.57]
10,EthylBenzene[0.34]&DimethylCarbonate[0.66]
11,EthylBenzene[0.31]&DimethylCarbonate[0.69]
12,EthylBenzene[0.21]&MD2M[0.79]
13,EthylBenzene[0.45]&DimethylCarbonate[0.55]
14,EthylBenzene[0.28]&MD2M[0.72]
15,EthylBenzene[0.25]&MD2M[0.75]
16,EthylBenzene[0.28]&MDM[0.72]
17,DimethylCarbonate[0.11]&EthylBenzene[0.89]
18,CycloHexane[0.07]&DiethylEther[0.93]
19,DimethylCarbonate[0.17]&DiethylEther[0.83]
20,DimethylCarbonate[0.25]&DiethylEther[0.75]
