order,mixture
1,Cyclopentane
2,SulfurDioxide
3,R365MFC
4,MDM
5,R113
6,Dichloroethane
7,DiethylEther
8,Methanol
9,MethylOleate
10,MethylLinoleate
11,MethylLinolenate
