order,mixture
1,MethylOleate[0.50]&Acetone[0.50]
2,trans-2-Butene[0.49]&n-Butane[0.51]
3,D5[0.50]&n-Octane[0.50]
4,MethylOleate[0.38]&n-Butane[0.62]
5,D5[0.48]&R11[0.52]
6,CycloHexane[0.50]&MD4M[0.50]
7,D6[0.48]&Dichloroethane[0.52]
8,MM[0.49]&n-Decane[0.51]
9,R11[0.49]&1-Butene[0.51]
10,n-Pentane[0.49]&R141b[0.51]
11,n-Butane[0.50]&HeavyWater[0.50]
12,Methanol[0.49]&1-Butene[0.51]
13,Novec649[0.49]&R1233zd(E)[0.51]
14,R142b[0.49]&IsoButene[0.51]
15,n-Hexane[0.49]&Water[0.51]
16,MethylOleate[0.50]&MethylLinoleate[0.50]
17,Water[0.50]&trans-2-Butene[0.50]
18,n-Pentane[0.49]&R113[0.51]
19,MDM[0.50]&R1234ze(Z)[0.50]
20,Benzene[0.49]&p-Xylene[0.51]
21,n-Butane[0.50]&n-Decane[0.50]
22,HeavyWater[0.49]&DiethylEther[0.51]
23,Water[0.49]&1-Butene[0.51]
24,HeavyWater[0.49]&m-Xylene[0.51]
25,trans-2-Butene[0.50]&R245ca[0.50]
