order,mixture
1,IsoButene
2,MD2M
3,n-Undecane
4,Ethanol
5,MethylLinolenate
6,n-Heptane
7,R40
8,R21
9,p-Xylene
10,Novec649
11,R114
12,n-Octane
13,MethylOleate
14,MethylPalmitate
15,R141b
16,n-Pentane
17,MM
18,DiethylEther
19,n-Dodecane
20,n-Hexane
21,cis-2-Butene
22,Isohexane
23,Neopentane
24,R142b
25,R123
