order,mixture
1,n-Undecane
2,MethylPalmitate
3,n-Nonane
4,MethylOleate
5,m-Xylene
6,CycloHexane
7,DimethylCarbonate
8,n-Pentane
9,Toluene
10,Water
11,HeavyWater
12,Methanol
13,SulfurDioxide
14,EthyleneOxide
15,Ethanol
