order,mixture
1,DiethylEther[0.49]&R236EA[0.51]
2,R236EA[0.49]&DiethylEther[0.51]
3,MD3M[0.41]&n-Undecane[0.59]
4,n-Undecane[0.43]&R236EA[0.57]
5,n-Undecane[0.42]&R236EA[0.58]
6,n-Nonane[0.47]&R1234ze(Z)[0.53]
7,MD3M[0.35]&n-Undecane[0.65]
8,n-Undecane[0.46]&DiethylEther[0.54]
9,MDM[0.50]&D5[0.50]
10,n-Undecane[0.50]&MD3M[0.50]
11,R1234ze(Z)[0.49]&R114[0.51]
12,EthylBenzene[0.50]&R113[0.50]
13,R113[0.49]&Isohexane[0.51]
14,p-Xylene[0.49]&IsoButene[0.51]
15,R142b[0.50]&Neopentane[0.50]
16,R114[0.49]&IsoButene[0.51]
17,n-Pentane[0.50]&R142b[0.50]
18,Isohexane[0.50]&cis-2-Butene[0.50]
19,R113[0.49]&R141b[0.51]
20,R245fa[0.49]&R113[0.51]
21,SulfurDioxide[0.48]&MM[0.52]
22,Isohexane[0.49]&n-Pentane[0.51]
23,R113[0.49]&1-Butene[0.51]
24,R113[0.49]&cis-2-Butene[0.51]
25,Isohexane[0.50]&R1234ze(Z)[0.50]
26,R142b[0.49]&Isohexane[0.51]
27,trans-2-Butene[0.49]&Isohexane[0.51]
28,Isopentane[0.50]&DiethylEther[0.50]
