order,mixture
1,R141b[0.50]&R236EA[0.50]
2,Acetone[0.46]&MD2M[0.54]
3,MDM[0.49]&HeavyWater[0.51]
4,n-Butane[0.49]&R40[0.51]
5,R141b[0.46]&n-Butane[0.54]
6,MD2M[0.48]&Acetone[0.52]
7,R141b[0.50]&R40[0.50]
8,MD2M[0.17]&HeavyWater[0.83]
9,DiethylEther[0.49]&R365MFC[0.51]
10,n-Undecane[0.48]&MethylLinolenate[0.52]
11,n-Dodecane[0.50]&MethylLinolenate[0.50]
12,R245fa[0.50]&R365MFC[0.50]
13,MethylLinoleate[0.50]&MethylPalmitate[0.50]
14,Acetone[0.49]&MethylOleate[0.51]
15,R40[0.49]&R11[0.51]
16,MethylLinolenate[0.47]&Acetone[0.53]
17,EthyleneOxide[0.50]&MethylLinolenate[0.50]
18,EthyleneOxide[0.50]&R40[0.50]
19,n-Decane[0.50]&HeavyWater[0.50]
20,MethylLinolenate[0.50]&o-Xylene[0.50]
21,MD3M[0.48]&n-Undecane[0.52]
