order,mixture
1,n-Octane[0.50]&MM[0.50]
2,HeavyWater[0.45]&IsoButene[0.55]
3,HeavyWater[0.40]&n-Octane[0.60]
4,HeavyWater[0.50]&Benzene[0.50]
5,Benzene[0.37]&n-Octane[0.63]
6,n-Undecane[0.47]&n-Dodecane[0.53]
7,R141b[0.49]&Benzene[0.51]
8,R123[0.50]&R245ca[0.50]
9,m-Xylene[0.50]&Acetone[0.50]
10,n-Pentane[0.50]&R236EA[0.50]
11,n-Butane[0.50]&R1234ze(Z)[0.50]
12,Novec649[0.50]&R236EA[0.50]
13,MD4M[0.49]&MethylOleate[0.51]
14,MethylPalmitate[0.49]&m-Xylene[0.51]
15,D6[0.50]&MD4M[0.50]
16,n-Nonane[0.49]&MD4M[0.51]
