config,n_seeds,mean_best_eta,std_best_eta,ci_low,ci_high,max_best_eta
onestage_mixture,20,0.122477,0.006891,0.119546,0.125306,0.131557
twostage_mixture,20,0.122597,0.007831,0.119136,0.125758,0.134122
