order,mixture
1,Benzene[0.50]&IsoButene[0.50]
2,Benzene[0.40]&HeavyWater[0.60]
3,HeavyWater[0.30]&Benzene[0.70]
4,trans-2-Butene[0.45]&HeavyWater[0.55]
5,Benzene[0.50]&EthylBenzene[0.50]
6,Dichloroethane[0.48]&m-Xylene[0.52]
7,n-Dodecane[0.50]&Toluene[0.50]
8,D5[0.50]&n-Nonane[0.50]
9,DimethylCarbonate[0.49]&o-Xylene[0.51]
10,MethylPalmitate[0.50]&n-Butane[0.50]
11,Water[0.48]&Toluene[0.52]
12,n-Pentane[0.50]&Dichloroethane[0.50]
13,R141b[0.49]&Water[0.51]
14,Cyclopentane[0.49]&Benzene[0.51]
15,m-Xylene[0.50]&cis-2-Butene[0.50]
16,Acetone[0.49]&p-Xylene[0.51]
17,R245ca[0.50]&cis-2-Butene[0.50]
18,o-Xylene[0.50]&Benzene[0.50]
19,o-Xylene[0.49]&Methanol[0.51]
20,Novec649[0.50]&MM[0.50]
21,HeavyWater[0.49]&Water[0.51]
22,Water[0.49]&m-Xylene[0.51]
23,Methanol[0.49]&Toluene[0.51]
24,Cyclopentane[0.48]&SulfurDioxide[0.52]
25,EthyleneOxide[0.50]&HeavyWater[0.50]
