phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar
INIT,1,DimethylCarbonate[0.49]&MethylLinolenate[0.51],mixture,DimethylCarbonate,MethylLinolenate,0.49,680.4200000000001,2780360.9080700013,-0.05,-1.0,-1.0
INIT,2,MD2M[0.29]&Neopentane[0.71],mixture,MD2M,Neopentane,0.29,481.78139999999996,1987828.8998988254,-0.05,-1.0,-1.0
INIT,3,MethylPalmitate[0.49]&R245ca[0.51],mixture,MethylPalmitate,R245ca,0.49,598.2107,2101253.811404727,-0.05,-1.0,-1.0
INIT,4,MethylLinolenate[0.49]&DimethylCarbonate[0.51],mixture,MethylLinolenate,DimethylCarbonate,0.49,675.5799999999999,2848400.0605403464,-0.05,-1.0,-1.0
INIT,5,Neopentane[0.35]&R245ca[0.65],mixture,Neopentane,R245ca,0.35000000000000003,442.72950000000003,4566773.98216559,0.10658853405262189,23.86486085798932,2.119599630389459
OPT,6,Neopentane[0.44]&R245ca[0.56],mixture,Neopentane,R245ca,0.44,441.48480000000006,4550026.856195463,0.1057139273406044,26.039983919044314,2.399476447695853
OPT,7,EthylBenzene[0.49]&SulfurDioxide[0.51],mixture,EthylBenzene,SulfurDioxide,0.49,522.0152,4609189.331760866,-0.05,-1.0,-1.0
OPT,8,R142b[0.47]&R11[0.53],mixture,R142b,R11,0.47000000000000003,442.5105,4512271.868405812,0.1199122657539817,27.131010267182177,2.3335830090196747
OPT,9,n-Butane[0.50]&Novec649[0.50],mixture,n-Butane,Novec649,0.5,433.4675,2532465.184436355,0.09258784771917444,17.25948541067861,1.3670396131719065
OPT,10,n-Butane[0.50]&R1233zd(E)[0.50],mixture,n-Butane,R1233zd(E),0.5,432.3625,4470249.552874594,0.10648822900555864,29.46491819226328,3.0133472197554503
OPT,11,EthyleneOxide[0.50]&R245fa[0.50],mixture,EthyleneOxide,R245fa,0.5,447.96500000000003,6569310.800912131,0.10563793260310597,27.50364373087119,3.2848769729477834
OPT,12,trans-2-Butene[0.50]&Methanol[0.50],mixture,trans-2-Butene,Methanol,0.5,452.55490189062505,5773802.854689629,0.05450045034114795,28.203546838614407,10.678504167722641
OPT,13,R123[0.49]&R245fa[0.51],mixture,R123,R245fa,0.49,441.62229,4007518.912300807,0.1086978989570495,21.768450671366363,2.003520610585202
OPT,14,Isopentane[0.49]&R245fa[0.51],mixture,Isopentane,R245fa,0.49,424.5833718326628,3498845.986086782,0.10638460004441058,24.384469221742513,2.2730168807450055
OPT,15,n-Butane[0.48]&SulfurDioxide[0.52],mixture,n-Butane,SulfurDioxide,0.48,427.9928,8599034.671302432,0.0707754976026284,41.348451324704065,11.806308161597983
OPT,16,n-Hexane[0.49]&Neopentane[0.51],mixture,n-Hexane,Neopentane,0.49,470.0392,3140700.0378729557,0.10415010656759664,12.875160425383653,1.0332851205375615
OPT,17,1-Butene[0.50]&R245fa[0.50],mixture,1-Butene,R245fa,0.5,423.15,5023038.632361741,0.09355854598450923,30.53825746458074,4.207795356682358
OPT,18,Isopentane[0.50]&R245ca[0.50],mixture,Isopentane,R245ca,0.5,453.96000000000004,4287136.870983885,0.10035635098991595,17.847863615078413,2.124498277853177
OPT,19,R245fa[0.50]&R236EA[0.50],mixture,R245fa,R236EA,0.5,419.725,3705264.2842350323,0.10234267400342847,28.633497534015124,2.633632819935319
OPT,20,R40[0.49]&trans-2-Butene[0.51],mixture,R40,trans-2-Butene,0.49,422.5781,5286092.795515223,0.10744517607992454,37.18471901047052,4.868490417663024
OPT,21,D4[0.49]&IsoButene[0.51],mixture,D4,IsoButene,0.49,500.6109,1919344.5153678546,-0.05,-1.0,-1.0
OPT,22,R1233zd(E)[0.49]&MDM[0.51],mixture,R1233zd(E),MDM,0.49,503.738059,2207674.962258578,0.02599313121627417,1.8900845236091506,0.8374860362779466
OPT,23,R236EA[0.49]&n-Decane[0.51],mixture,R236EA,n-Decane,0.49,517.1226,2796976.132618706,-0.05,-1.0,-1.0
OPT,24,1-Butene[0.49]&Isohexane[0.51],mixture,1-Butene,Isohexane,0.49,459.27909999999997,3321475.9936287673,0.0889609682269939,15.399336136744532,2.2067365130517387
OPT,25,R1233zd(E)[0.50]&MM[0.50],mixture,R1233zd(E),MM,0.5,479.15000000000003,2725519.9826723537,0.07943881549745545,6.97054584621031,0.7869749582341561
