order,mixture
1,n-Decane[0.50]&R123[0.50]
2,Toluene[0.17]&Cyclopentane[0.83]
3,R245fa[0.49]&Cyclopentane[0.51]
4,Toluene[0.11]&n-Decane[0.89]
5,R123[0.38]&R245fa[0.62]
6,IsoButene[0.49]&Acetone[0.51]
7,R21[0.49]&Ethanol[0.51]
8,Acetone[0.50]&n-Undecane[0.50]
9,1-Butene[0.47]&Dichloroethane[0.53]
10,DiethylEther[0.50]&CycloHexane[0.50]
11,Ethanol[0.50]&EthyleneOxide[0.50]
12,DimethylCarbonate[0.50]&n-Hexane[0.50]
13,Methanol[0.50]&trans-2-Butene[0.50]
14,R113[0.50]&R114[0.50]
15,R21[0.48]&o-Xylene[0.52]
