order,mixture
1,R11[0.27]&MethylOleate[0.73]
2,EthyleneOxide[0.11]&R21[0.89]
3,EthyleneOxide[0.50]&R11[0.50]
4,R1233zd(E)[0.24]&R236EA[0.76]
5,R11[0.32]&EthyleneOxide[0.68]
6,R11[0.49]&EthyleneOxide[0.51]
7,EthyleneOxide[0.46]&R40[0.54]
8,R1233zd(E)[0.50]&EthyleneOxide[0.50]
9,R40[0.50]&R141b[0.50]
10,EthyleneOxide[0.38]&R40[0.62]
11,R1233zd(E)[0.23]&MethylOleate[0.77]
12,MD3M[0.50]&MethylOleate[0.50]
13,R141b[0.34]&MethylOleate[0.66]
14,EthyleneOxide[0.39]&MethylOleate[0.61]
15,MethylOleate[0.43]&MD3M[0.57]
