order,mixture
1,DiethylEther[0.31]&SulfurDioxide[0.69]
2,n-Undecane[0.12]&DimethylCarbonate[0.88]
3,DiethylEther[0.38]&IsoButene[0.62]
4,DimethylCarbonate[0.33]&n-Decane[0.67]
5,MD3M[0.49]&DimethylCarbonate[0.51]
6,DimethylCarbonate[0.45]&n-Decane[0.55]
7,DimethylCarbonate[0.50]&n-Decane[0.50]
8,n-Decane[0.49]&DimethylCarbonate[0.51]
9,R113[0.48]&SulfurDioxide[0.52]
10,SulfurDioxide[0.45]&n-Undecane[0.55]
11,MD3M[0.40]&n-Undecane[0.60]
12,MD3M[0.40]&n-Decane[0.60]
13,MD3M[0.47]&n-Undecane[0.53]
14,MD3M[0.48]&n-Undecane[0.52]
15,n-Decane[0.42]&SulfurDioxide[0.58]
