phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar
SCBO,1,DiethylEther[0.49]&SulfurDioxide[0.51],mixture,DiethylEther,SulfurDioxide,0.49,448.8972243584053,5089519.726327261,0.11583827973455245,23.68721248242094,2.0382854580864103
SCBO,2,n-Undecane[0.49]&MethylLinoleate[0.51],mixture,n-Undecane,MethylLinoleate,0.49,720.5021063040313,1596069.261710638,-0.05,-1.0,-1.0
SCBO,3,Isohexane[0.41]&Dichloroethane[0.59],mixture,Isohexane,Dichloroethane,0.41000000000000003,535.3895852275706,4038038.0885215336,-0.05,-1.0,-1.0
STEP8,4,Cyclopentane[0.50]&p-Xylene[0.50],mixture,Cyclopentane,p-Xylene,0.5,563.9440345994043,3989046.447594317,-0.05,-1.0,-1.0
STEP8,5,Acetone[0.48]&p-Xylene[0.52],mixture,Acetone,p-Xylene,0.48,564.2953653447634,4007404.9853167115,0.08190140905972852,1.865355087819216,0.2478277080487945
STEP8,6,Acetone[0.49]&R40[0.51],mixture,Acetone,R40,0.49,462.4680869992559,5617110.533908443,-0.05,-1.0,-1.0
