order,mixture
1,D6
2,R21
3,R236EA
4,Acetone
5,Toluene
6,MethylOleate
7,o-Xylene
8,EthylBenzene
9,m-Xylene
10,p-Xylene
11,Benzene
12,Dichloroethane
13,n-Nonane
14,D5
15,n-Octane
16,DimethylCarbonate
