order,mixture
1,HeavyWater
2,cis-2-Butene
3,o-Xylene
4,n-Dodecane
5,R40
6,MethylOleate
7,MD4M
8,n-Undecane
9,Benzene
10,Dichloroethane
11,DimethylCarbonate
12,CycloHexane
13,Methanol
14,Novec649
15,MethylLinoleate
16,MethylLinolenate
17,SulfurDioxide
18,MethylPalmitate
19,Ethanol
20,n-Heptane
