order,mixture
1,R1234ze(Z)
2,EthylBenzene
3,Cyclopentane
4,MDM
5,Methanol
1,Methanol
2,Cyclopentane
3,Cyclopentane
4,Cyclopentane
5,Cyclopentane
6,Cyclopentane
7,Cyclopentane
8,Cyclopentane
9,Cyclopentane
10,Cyclopentane
11,Cyclopentane
12,Cyclopentane
13,Cyclopentane
14,Cyclopentane
15,Cyclopentane
16,Cyclopentane
17,Cyclopentane
18,Cyclopentane
19,Cyclopentane
20,Cyclopentane
