order,mixture
1,n-Decane[0.50]&D6[0.50]
2,Isohexane[0.50]&R245ca[0.50]
3,Toluene[0.50]&Cyclopentane[0.50]
4,m-Xylene[0.40]&Isohexane[0.60]
5,D6[0.34]&Isohexane[0.66]
6,Isohexane[0.45]&R245fa[0.55]
7,D6[0.35]&R245fa[0.65]
8,n-Decane[0.44]&R245ca[0.56]
9,R236EA[0.49]&R365MFC[0.51]
10,DimethylCarbonate[0.48]&n-Dodecane[0.52]
11,n-Heptane[0.50]&DimethylCarbonate[0.50]
12,Neopentane[0.49]&DimethylCarbonate[0.51]
13,R236EA[0.50]&R11[0.50]
14,1-Butene[0.49]&R142b[0.51]
15,Acetone[0.50]&p-Xylene[0.50]
16,EthylBenzene[0.49]&n-Pentane[0.51]
17,SulfurDioxide[0.47]&p-Xylene[0.53]
18,cis-2-Butene[0.49]&DiethylEther[0.51]
19,n-Octane[0.49]&R21[0.51]
20,EthyleneOxide[0.46]&Methanol[0.54]
21,HeavyWater[0.49]&Benzene[0.51]
22,m-Xylene[0.50]&Methanol[0.50]
23,m-Xylene[0.50]&Water[0.50]
24,MethylPalmitate[0.47]&n-Butane[0.53]
25,o-Xylene[0.48]&Water[0.52]
26,Water[0.50]&MethylLinoleate[0.50]
27,Benzene[0.50]&Water[0.50]
28,Methanol[0.50]&n-Dodecane[0.50]
