order,mixture
1,n-Decane[0.50]&R123[0.50]
2,Toluene[0.50]&Cyclopentane[0.50]
3,R123[0.33]&R245fa[0.67]
4,Toluene[0.18]&Cyclopentane[0.82]
5,Toluene[0.06]&n-Decane[0.94]
6,trans-2-Butene[0.48]&Acetone[0.52]
7,MethylPalmitate[0.49]&MDM[0.51]
8,DimethylCarbonate[0.48]&R1234ze(Z)[0.52]
9,n-Butane[0.50]&n-Decane[0.50]
10,R1234ze(Z)[0.49]&p-Xylene[0.51]
11,R11[0.48]&R142b[0.52]
12,Novec649[0.50]&n-Hexane[0.50]
13,n-Nonane[0.49]&Benzene[0.51]
14,MD2M[0.47]&R1233zd(E)[0.53]
15,SulfurDioxide[0.49]&n-Heptane[0.51]
