order,mixture
1,R1234ze(Z)
2,Ethanol
3,DimethylCarbonate
4,Toluene
5,n-Dodecane
6,Methanol
7,EthyleneOxide
8,SulfurDioxide
9,Dichloroethane
10,Benzene
11,CycloHexane
12,EthylBenzene
13,p-Xylene
14,m-Xylene
15,o-Xylene
16,n-Nonane
