order,mixture
1,R113[0.49]&D6[0.51]
2,SulfurDioxide[0.49]&R141b[0.51]
3,m-Xylene[0.49]&1-Butene[0.51]
4,n-Butane[0.45]&R245fa[0.55]
5,MethylOleate[0.50]&CycloHexane[0.50]
1,R141b[0.49]&SulfurDioxide[0.51]
2,R141b[0.29]&1-Butene[0.71]
3,1-Butene[0.49]&SulfurDioxide[0.51]
4,1-Butene[0.46]&R141b[0.54]
5,SulfurDioxide[0.25]&R141b[0.75]
6,SulfurDioxide[0.27]&R141b[0.73]
7,SulfurDioxide[0.30]&R141b[0.70]
8,SulfurDioxide[0.10]&HeavyWater[0.90]
9,1-Butene[0.32]&SulfurDioxide[0.68]
10,1-Butene[0.35]&SulfurDioxide[0.65]
11,1-Butene[0.43]&SulfurDioxide[0.57]
12,R245fa[0.50]&n-Butane[0.50]
13,n-Butane[0.50]&1-Butene[0.50]
14,n-Butane[0.42]&1-Butene[0.58]
15,1-Butene[0.38]&SulfurDioxide[0.62]
16,1-Butene[0.39]&SulfurDioxide[0.61]
17,n-Butane[0.30]&R141b[0.70]
18,1-Butene[0.28]&R141b[0.72]
19,1-Butene[0.13]&n-Butane[0.87]
20,1-Butene[0.30]&R141b[0.70]
