order,mixture
1,n-Pentane[0.49]&MethylLinoleate[0.51]
2,HeavyWater[0.50]&R114[0.50]
3,HeavyWater[0.21]&IsoButene[0.79]
4,IsoButene[0.47]&1-Butene[0.53]
5,R114[0.21]&IsoButene[0.79]
6,IsoButene[0.25]&1-Butene[0.75]
7,R114[0.50]&MethylPalmitate[0.50]
8,MM[0.50]&cis-2-Butene[0.50]
9,R40[0.48]&R21[0.52]
10,R114[0.50]&R365MFC[0.50]
11,HeavyWater[0.49]&MethylOleate[0.51]
12,1-Butene[0.49]&Methanol[0.51]
13,R114[0.49]&SulfurDioxide[0.51]
14,IsoButene[0.50]&Water[0.50]
15,1-Butene[0.48]&HeavyWater[0.52]
16,MethylOleate[0.47]&D4[0.53]
