order,mixture
1,MethylLinolenate[0.28]&IsoButene[0.72]
2,DiethylEther[0.50]&n-Pentane[0.50]
3,1-Butene[0.41]&IsoButene[0.59]
4,n-Pentane[0.50]&R365MFC[0.50]
5,n-Pentane[0.21]&MethylLinolenate[0.79]
6,1-Butene[0.48]&IsoButene[0.52]
7,IsoButene[0.47]&1-Butene[0.53]
8,IsoButene[0.48]&1-Butene[0.52]
9,DiethylEther[0.50]&Neopentane[0.50]
10,1-Butene[0.19]&R365MFC[0.81]
11,1-Butene[0.50]&IsoButene[0.50]
12,R365MFC[0.07]&IsoButene[0.93]
13,R365MFC[0.36]&IsoButene[0.64]
14,R365MFC[0.43]&IsoButene[0.57]
15,R365MFC[0.47]&IsoButene[0.53]
