order,mixture
1,MethylOleate[0.50]&Acetone[0.50]
2,R245fa[0.49]&Toluene[0.51]
3,MD4M[0.49]&R11[0.51]
4,trans-2-Butene[0.49]&n-Butane[0.51]
5,D5[0.50]&n-Octane[0.50]
1,trans-2-Butene[0.50]&n-Butane[0.50]
2,n-Butane[0.34]&D5[0.66]
3,n-Butane[0.34]&trans-2-Butene[0.66]
4,trans-2-Butene[0.34]&n-Butane[0.66]
5,trans-2-Butene[0.28]&n-Butane[0.72]
6,trans-2-Butene[0.23]&n-Butane[0.77]
7,n-Butane[0.20]&Toluene[0.80]
8,n-Butane[0.46]&Toluene[0.54]
9,n-Butane[0.34]&Toluene[0.66]
10,n-Butane[0.37]&Toluene[0.63]
11,n-Butane[0.38]&Toluene[0.62]
12,Toluene[0.50]&n-Butane[0.50]
13,n-Butane[0.32]&Toluene[0.68]
