order,mixture
1,trans-2-Butene[0.50]&MDM[0.50]
2,R123[0.50]&n-Decane[0.50]
3,Novec649[0.32]&Ethanol[0.68]
4,Novec649[0.37]&trans-2-Butene[0.63]
5,Novec649[0.27]&Ethanol[0.73]
6,R236EA[0.49]&Novec649[0.51]
7,Ethanol[0.49]&R21[0.51]
8,IsoButene[0.50]&Acetone[0.50]
9,DiethylEther[0.47]&1-Butene[0.53]
10,SulfurDioxide[0.50]&Neopentane[0.50]
11,R1233zd(E)[0.50]&EthyleneOxide[0.50]
12,DiethylEther[0.49]&Neopentane[0.51]
13,o-Xylene[0.50]&MD4M[0.50]
14,HeavyWater[0.48]&Water[0.52]
15,CycloHexane[0.49]&HeavyWater[0.51]
