order,mixture
1,MD3M[0.48]&trans-2-Butene[0.52]
2,MethylLinolenate[0.49]&IsoButene[0.51]
3,IsoButene[0.42]&p-Xylene[0.58]
4,Isopentane[0.48]&n-Hexane[0.52]
5,EthylBenzene[0.43]&D4[0.57]
6,1-Butene[0.50]&Isohexane[0.50]
7,trans-2-Butene[0.50]&MM[0.50]
8,R1234ze(Z)[0.49]&R113[0.51]
9,Dichloroethane[0.49]&R236EA[0.51]
10,R141b[0.50]&Isopentane[0.50]
11,R1234ze(Z)[0.49]&n-Butane[0.51]
12,m-Xylene[0.50]&EthylBenzene[0.50]
13,R11[0.48]&Acetone[0.52]
14,Neopentane[0.50]&Methanol[0.50]
15,R40[0.50]&EthyleneOxide[0.50]
