fluid,REFPROP_STANDARD,Tcrit[K],Pcrit[Pa],eta_best,p_evap_bar,p_cond_bar,eta_clipped
Water,WATER,647.096,22064000,0.139692185,3.083909072,0.063094206,0.139692185
HeavyWater,D2O,643.847,21661831,0.138169743,2.946415646,0.056182809,0.138169743
Methanol,METHANOL,512.5,8215850,0.136915687,9.479146779,0.279183934,0.136915687
Ethanol,ETHANOL,514.71,6268000,0.134580813,6.531527552,0.137604127,0.134580813
Dichloroethane,R150,561.6,5227585.103,0.131771899,4.033991497,0.168364944,0.131771899
Benzene,BENZENE,562.02,4894000,0.129264728,4.233996085,0.202428776,0.129264728
DimethylCarbonate,DMC,557,4908800,0.128733801,3.512339039,0.119400496,0.128733801
Toluene,TOLUENE,591.75,4126000,0.128535212,1.905865782,0.064090847,0.128535212
Acetone,ACETONE,508.1,4700000,0.128321733,8.410395741,0.467485275,0.128321733
EthyleneOxide,ETHYLENEOXIDE,468.92,7304686.16,0.126531989,27.3413988,2.452551528,0.126531989
Cyclopentane,CYCLOPEN,511.72,4582761.186,0.125626365,8.830333141,0.619802143,0.125626365
m-Xylene,MXYLENE,616.89,3534600,0.124721775,0.865164571,0.022100666,0.124721775
CycloHexane,CYCLOHEX,553.6,4082400,0.124262714,3.991490014,0.201363143,0.124262714
o-Xylene,OXYLENE,630.259,3737500,0.124183035,0.673829258,0.015988903,0.124183035
EthylBenzene,EBENZENE,617.12,3622400,0.123909474,0.925051777,0.024746395,0.123909474
R11,R11,471.06,4394000,0.122300703,16.26066969,1.486791776,0.122300703
R141b,R141B,477.5,4212000,0.121808048,13.69153507,1.130946343,0.121808048
R21,R21,451.48,5181200,0.120495372,25.76616899,2.538991464,0.120495372
p-Xylene,PXYLENE,616.168,3531500,0.119498203,0.885136304,0.028686069,0.119498203
SulfurDioxide,SO2,430.64,7886587.6,0.117925838,53.79027616,5.428125974,0.117925838
R113,R113,487.21,3392200,0.117835629,9.192396861,0.655061791,0.117835629
R123,R123,456.831,3672000,0.116872804,15.92367242,1.305996325,0.116872804
n-Heptane,HEPTANE,540.13,2736000,0.116176671,2.645664683,0.099119215,0.116176671
n-Nonane,NONANE,594.55,2281000,0.115994186,0.642270057,0.010789389,0.115994186
n-Hexane,HEXANE,507.82,3044115.328,0.115582945,5.551685606,0.308154157,0.115582945
n-Octane,OCTANE,568.74,2483591.2,0.115385143,1.263511732,0.032868878,0.115385143
DiethylEther,DEE,466.7,3649016.897,0.114943863,13.5378552,1.03461056,0.114943863
n-Pentane,PENTANE,469.7,3367518.995,0.114111054,12.04340328,0.979263661,0.114111054
Isohexane,IHEXANE,497.7,3040000,0.113671078,6.704581682,0.420547749,0.113671078
cis-2-Butene,C2BUTENE,435.75,4225500,0.113557821,26.93260306,2.920487941,0.113557821
R1233zd(E),R1233ZDE,439.6,3623637.776,0.112872071,20.91305242,1.838428586,0.112872071
R245ca,R245CA,447.57,3940740.489,0.112181941,19.29882732,1.457845758,0.112181941
Isopentane,IPENTANE,460.35,3378000,0.111988906,14.35938245,1.290182614,0.111988906
R365MFC,R365MFC,460,3266207.068,0.110861868,12.55518648,0.837816115,0.110861868
trans-2-Butene,T2BUTENE,428.61,4027300,0.110774001,28.39461097,3.174931191,0.110774001
R1234ze(Z),R1234ZEZ,423.27,3530619.67,0.109541692,26.81515462,2.479691045,0.109541692
R40,R40,416.3,6671686.977,0.109135063,58.42998445,7.65843771,0.109135063
R245fa,R245FA,427.01,3651000,0.108252268,25.77285651,2.125779448,0.108252268
n-Butane,BUTANE,425.125,3796000,0.107398597,28.67437202,3.285836478,0.107398597
n-Dodecane,DODECANE,658.1,1817000,0.107344958,0.059607651,0.000475907,0.107344958
1-Butene,1BUTENE,419.29,4005100,0.106017301,33.12978898,3.989934419,0.106017301
IsoButene,IBUTENE,418.09,4009800,0.104689271,33.97270616,4.098584609,0.104689271
Neopentane,NEOPENTN,433.74,3196000,0.104075863,21.06874537,2.335367709,0.104075863
MM,MM,518.75,1939000,0.103516934,2.474961837,0.090739537,0.103516934
R114,R114,418.83,3257000,0.102480936,26.96698901,2.929862665,0.102480936
R142b,R142B,410.26,4055000,0.100224795,36.22735855,4.545836805,0.100224795
R236EA,R236EA,412.44,3415700.708,0.099403416,31.26058085,2.883342016,0.099403416
D4,D4,586.5,1347215.356,0.09438892,0.296806863,0.003951431,0.09438892
n-Undecane,UNDECANE,638.8,1990400,0.092965708,0.144386516,0.004126842,0.092965708
D5,D5,618.3,1077687.78,0.091646693,0.084438235,0.000545026,0.091646693
Novec649,NOVEC649,441.81,1869026.583,0.088473781,9.762149768,0.605757664,0.088473781
D6,D6,645.78,961000,0.086018681,0.02199659,0.000123553,0.086018681
MDM,MDM,564.09,1410044.756,0.085826318,0.375504876,0.014492373,0.085826318
MD2M,MD2M,599.4,1144024.296,0.083135481,0.165705309,0.00358652,0.083135481
MD3M,MD3M,628,953950.3102,0.073541315,0.015664527,0.000325518,0.073541315
n-Decane,DECANE,617.7,2103000,0.041869401,0.243209673,0.078776264,0.041869401
MethylPalmitate,MPALMITA,755,1350000,-1,-1,-1,0
MD4M,MD4M,653.2,828558.7221,-1,-1,-1,0
MethylOleate,MOLEATE,782,1246000,-1,-1,-1,0
MethylLinolenate,MLINOLEA,772,1369000,-1,-1,-1,0
MethylLinoleate,MLINOLEN,799,1341000,-1,-1,-1,0
