order,mixture
1,Cyclopentane[0.47]&MD4M[0.53]
2,R1234ze(Z)[0.42]&CycloHexane[0.58]
3,R1234ze(Z)[0.50]&MDM[0.50]
4,DimethylCarbonate[0.31]&R1234ze(Z)[0.69]
5,DimethylCarbonate[0.19]&MD4M[0.81]
6,DimethylCarbonate[0.50]&R1234ze(Z)[0.50]
7,R1234ze(Z)[0.27]&DimethylCarbonate[0.73]
8,EthylBenzene[0.47]&R1234ze(Z)[0.53]
9,R1234ze(Z)[0.50]&CycloHexane[0.50]
10,DimethylCarbonate[0.37]&R1234ze(Z)[0.63]
11,DimethylCarbonate[0.40]&R1234ze(Z)[0.60]
12,R1234ze(Z)[0.22]&DimethylCarbonate[0.78]
13,R1234ze(Z)[0.18]&DimethylCarbonate[0.82]
14,R1234ze(Z)[0.14]&DimethylCarbonate[0.86]
15,R1234ze(Z)[0.09]&DimethylCarbonate[0.91]
