order,mixture
1,n-Dodecane[0.49]&R245ca[0.51]
2,DimethylCarbonate[0.50]&n-Butane[0.50]
3,MDM[0.50]&n-Hexane[0.50]
4,Methanol[0.48]&MethylOleate[0.52]
5,R113[0.49]&Neopentane[0.51]
1,Neopentane[0.49]&R113[0.51]
2,R113[0.39]&Neopentane[0.61]
3,R113[0.26]&Neopentane[0.74]
4,R113[0.42]&Neopentane[0.58]
5,R113[0.43]&Neopentane[0.57]
6,R113[0.48]&Neopentane[0.52]
7,R113[0.10]&DimethylCarbonate[0.90]
8,R113[0.12]&DimethylCarbonate[0.88]
9,DimethylCarbonate[0.01]&n-Butane[0.99]
10,DimethylCarbonate[0.01]&Water[0.99]
11,DimethylCarbonate[0.01]&HeavyWater[0.99]
12,Neopentane[0.47]&R113[0.53]
13,Neopentane[0.43]&R113[0.57]
14,DimethylCarbonate[0.01]&MethylPalmitate[0.99]
15,Neopentane[0.50]&R113[0.50]
