order,mixture
1,Isopentane[0.47]&R113[0.53]
2,Benzene[0.49]&DiethylEther[0.51]
3,Water[0.50]&m-Xylene[0.50]
4,D4[0.47]&n-Undecane[0.53]
5,Toluene[0.49]&R245fa[0.51]
1,R113[0.50]&Isopentane[0.50]
2,R113[0.50]&D4[0.50]
3,n-Undecane[0.23]&D4[0.77]
4,R113[0.35]&Isopentane[0.65]
5,n-Undecane[0.15]&D4[0.85]
6,Isopentane[0.50]&n-Undecane[0.50]
7,R113[0.01]&n-Undecane[0.99]
8,R113[0.37]&R245fa[0.63]
9,R245fa[0.31]&Isopentane[0.69]
10,R113[0.02]&n-Undecane[0.98]
11,D4[0.45]&n-Undecane[0.55]
12,R113[0.50]&R245fa[0.50]
13,R113[0.37]&Benzene[0.63]
14,Benzene[0.50]&R113[0.50]
15,D4[0.43]&n-Undecane[0.57]
