order,mixture
1,R236EA[0.43]&R40[0.57]
2,MethylLinolenate[0.49]&R141b[0.51]
3,n-Butane[0.49]&MD2M[0.51]
4,R236EA[0.46]&R40[0.54]
5,n-Butane[0.32]&R141b[0.68]
6,SulfurDioxide[0.49]&n-Decane[0.51]
7,n-Butane[0.47]&trans-2-Butene[0.53]
8,Cyclopentane[0.50]&cis-2-Butene[0.50]
9,1-Butene[0.50]&MM[0.50]
10,Acetone[0.49]&EthyleneOxide[0.51]
11,DimethylCarbonate[0.49]&R40[0.51]
12,D6[0.49]&R123[0.51]
13,MethylLinoleate[0.50]&MethylPalmitate[0.50]
14,R40[0.49]&SulfurDioxide[0.51]
15,HeavyWater[0.50]&Isopentane[0.50]
16,p-Xylene[0.49]&R142b[0.51]
