order,mixture
1,R113[0.49]&D6[0.51]
2,SulfurDioxide[0.49]&R141b[0.51]
3,m-Xylene[0.49]&1-Butene[0.51]
4,n-Butane[0.45]&R245fa[0.55]
5,MethylOleate[0.50]&CycloHexane[0.50]
1,R141b[0.49]&SulfurDioxide[0.51]
2,R141b[0.29]&1-Butene[0.71]
3,1-Butene[0.49]&SulfurDioxide[0.51]
4,1-Butene[0.46]&R141b[0.54]
5,SulfurDioxide[0.26]&R141b[0.74]
6,SulfurDioxide[0.36]&R141b[0.64]
7,SulfurDioxide[0.10]&Dichloroethane[0.90]
8,SulfurDioxide[0.38]&1-Butene[0.62]
9,SulfurDioxide[0.50]&n-Butane[0.50]
10,SulfurDioxide[0.50]&R245fa[0.50]
11,SulfurDioxide[0.36]&R245fa[0.64]
12,SulfurDioxide[0.28]&R141b[0.72]
13,SulfurDioxide[0.30]&R245fa[0.70]
14,SulfurDioxide[0.11]&R141b[0.89]
15,SulfurDioxide[0.05]&Water[0.95]
16,SulfurDioxide[0.31]&R141b[0.69]
17,SulfurDioxide[0.49]&R245fa[0.51]
18,SulfurDioxide[0.05]&HeavyWater[0.95]
19,SulfurDioxide[0.05]&Methanol[0.95]
20,Methanol[0.44]&SulfurDioxide[0.56]
