order,mixture
1,R1234ze(Z)[0.50]&CycloHexane[0.50]
2,EthylBenzene[0.49]&DimethylCarbonate[0.51]
3,Cyclopentane[0.47]&MD4M[0.53]
4,MDM[0.50]&MD2M[0.50]
1,DimethylCarbonate[0.50]&EthylBenzene[0.50]
2,DimethylCarbonate[0.21]&CycloHexane[0.79]
3,DimethylCarbonate[0.50]&CycloHexane[0.50]
4,DimethylCarbonate[0.07]&1-Butene[0.93]
5,CycloHexane[0.41]&1-Butene[0.59]
6,R1234ze(Z)[0.50]&1-Butene[0.50]
7,1-Butene[0.50]&CycloHexane[0.50]
8,R1234ze(Z)[0.18]&DimethylCarbonate[0.82]
9,R1234ze(Z)[0.19]&DimethylCarbonate[0.81]
10,R1234ze(Z)[0.01]&Dichloroethane[0.99]
11,Dichloroethane[0.42]&R1234ze(Z)[0.58]
12,CycloHexane[0.21]&DimethylCarbonate[0.79]
13,1-Butene[0.21]&Dichloroethane[0.79]
14,Dichloroethane[0.37]&CycloHexane[0.63]
15,CycloHexane[0.50]&EthylBenzene[0.50]
