order,mixture
1,MethylOleate[0.50]&Acetone[0.50]
2,MD4M[0.49]&R11[0.51]
3,Toluene[0.47]&n-Butane[0.53]
4,trans-2-Butene[0.43]&R11[0.57]
5,trans-2-Butene[0.39]&MethylOleate[0.61]
6,Toluene[0.34]&n-Butane[0.66]
7,n-Butane[0.39]&trans-2-Butene[0.61]
8,n-Butane[0.40]&trans-2-Butene[0.60]
9,Toluene[0.48]&R245fa[0.52]
10,trans-2-Butene[0.42]&n-Butane[0.58]
11,n-Butane[0.48]&trans-2-Butene[0.52]
12,n-Butane[0.50]&trans-2-Butene[0.50]
13,Toluene[0.46]&n-Butane[0.54]
14,trans-2-Butene[0.49]&n-Butane[0.51]
15,R245fa[0.49]&Toluene[0.51]
16,n-Butane[0.29]&R11[0.71]
