order,mixture
1,n-Decane[0.50]&R123[0.50]
2,Toluene[0.17]&Cyclopentane[0.83]
3,R245fa[0.49]&Cyclopentane[0.51]
4,Toluene[0.11]&n-Decane[0.89]
5,R123[0.38]&R245fa[0.62]
6,IsoButene[0.49]&Acetone[0.51]
7,R21[0.49]&Ethanol[0.51]
8,Acetone[0.50]&n-Undecane[0.50]
9,1-Butene[0.47]&Dichloroethane[0.53]
10,DiethylEther[0.50]&CycloHexane[0.50]
11,MethylOleate[0.49]&Novec649[0.51]
12,Toluene[0.48]&R141b[0.52]
13,Isopentane[0.50]&Dichloroethane[0.50]
14,R1234ze(Z)[0.50]&n-Butane[0.50]
15,Cyclopentane[0.49]&Dichloroethane[0.51]
16,R141b[0.49]&Benzene[0.51]
17,n-Hexane[0.49]&R1234ze(Z)[0.51]
18,IsoButene[0.48]&MDM[0.52]
