order,mixture
1,Cyclopentane[0.47]&MD4M[0.53]
2,R1234ze(Z)[0.42]&CycloHexane[0.58]
3,R1234ze(Z)[0.50]&MDM[0.50]
4,DimethylCarbonate[0.31]&R1234ze(Z)[0.69]
5,DimethylCarbonate[0.19]&MD4M[0.81]
6,R40[0.50]&DimethylCarbonate[0.50]
7,SulfurDioxide[0.48]&EthylBenzene[0.52]
8,R236EA[0.49]&R11[0.51]
9,DimethylCarbonate[0.50]&R365MFC[0.50]
10,EthylBenzene[0.50]&R365MFC[0.50]
11,n-Heptane[0.49]&R21[0.51]
12,Ethanol[0.48]&n-Heptane[0.52]
13,Benzene[0.49]&n-Hexane[0.51]
14,SulfurDioxide[0.50]&Dichloroethane[0.50]
15,Water[0.50]&trans-2-Butene[0.50]
16,HeavyWater[0.49]&n-Hexane[0.51]
