phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar,cost
INIT,1,n-Pentane,pure,n-Pentane,,1.0,469.69999987111663,3367518.9836068754,0.11417818294282789,12.089358808500702,0.980768613143748,3.0
INIT,2,Isopentane,pure,Isopentane,,1.0,460.3497947114459,3378217.2241799296,0.11007405572522626,13.631785522686545,1.304452182120561,4.0
INIT,3,R1234ze(Z),pure,R1234ze(Z),,1.0,423.2703783954189,3530642.6307265745,0.10930243818697961,26.429014892385904,2.4772020188499084,5.0
INIT,4,n-Undecane,pure,n-Undecane,,1.0,638.8000144673849,1990452.1527680526,0.11051604334911534,0.13885130415746225,0.0013818918851372518,6.0
INIT,5,EthylBenzene,pure,EthylBenzene,,1.0,617.1199997949194,3622442.1281439885,0.125688922001307,0.9742233638895591,0.024428316320657006,7.0
OPT,6,p-Xylene,pure,p-Xylene,,1.0,616.1680019419451,3531521.052252691,0.12070261197016591,0.8173198113513569,0.024719380573287614,8.0
OPT,7,n-Nonane,pure,n-Nonane,,1.0,594.5478132119172,2281911.0314392075,0.11033565094472379,0.6468775992450523,0.014680811314819709,9.0
OPT,8,Benzene,pure,Benzene,,1.0,562.0196911219722,4906288.781088226,0.1270965911410018,3.9510851717992628,0.20002903956154783,10.0
OPT,9,Dichloroethane,pure,Dichloroethane,,1.0,561.5800290671409,5226120.870131313,0.12151934021615587,3.8233053510346484,0.22531977205240236,11.0
OPT,10,DimethylCarbonate,pure,DimethylCarbonate,,1.0,557.0000000185722,4908754.940663761,0.12166441361730825,3.25497307928923,0.14269752524778243,12.0
OPT,11,MD3M,pure,MD3M,,1.0,628.0000256535702,953950.681224102,0.031881888889315396,0.028352159849522572,0.008820130794401013,13.0
OPT,12,MethylOleate,pure,MethylOleate,,1.0,782.0001332054759,1246000.7777377798,-0.05,-1.0,-1.0,14.0
OPT,13,D5,pure,D5,,1.0,618.2999915047726,1077687.644266743,-0.05,-1.0,-1.0,15.0
OPT,14,n-Octane,pure,n-Octane,,1.0,568.7399999458576,2483591.1977593484,0.11505912573361352,1.2577187456069905,0.033218284712511426,16.0
OPT,15,Ethanol,pure,Ethanol,,1.0,514.7092848812961,6267914.582702095,0.13383583287224796,6.5291558345803224,0.14188189757702102,17.0
OPT,16,Methanol,pure,Methanol,,1.0,513.3795127230579,8215853.274947686,0.1354882240587861,9.131170134968459,0.28434332450337774,18.0
OPT,17,R11,pure,R11,,1.0,471.1099999985589,4407637.999963813,0.12156736837281285,16.247241802731587,1.5166895548813077,19.0
OPT,18,R123,pure,R123,,1.0,456.8300258131298,3661805.269435811,0.11694724947141213,16.014345228581686,1.310263006147068,20.0
