order,mixture
1,MethylOleate[0.47]&EthylBenzene[0.53]
2,R1234ze(Z)[0.48]&n-Undecane[0.52]
3,MD3M[0.30]&R236EA[0.70]
4,R1234ze(Z)[0.35]&n-Nonane[0.65]
5,EthylBenzene[0.50]&n-Undecane[0.50]
6,n-Undecane[0.48]&R1234ze(Z)[0.52]
7,R1234ze(Z)[0.37]&n-Nonane[0.63]
8,EthylBenzene[0.46]&MethylPalmitate[0.54]
9,EthylBenzene[0.50]&n-Nonane[0.50]
10,DiethylEther[0.40]&EthylBenzene[0.60]
11,R1234ze(Z)[0.36]&EthylBenzene[0.64]
12,R1234ze(Z)[0.37]&EthylBenzene[0.63]
13,EthylBenzene[0.49]&R1234ze(Z)[0.51]
14,EthylBenzene[0.33]&DiethylEther[0.67]
15,EthylBenzene[0.20]&R1234ze(Z)[0.80]
